19-03-2018 21:23:12 INFO  Actionwords:1103 - <----------Scenario Completed: Select single statement pending agreement--------------->
19-03-2018 21:23:13 INFO  Actionwords:1118 - <<<<<------------------------------------------------------------------------------->>>>>
19-03-2018 21:23:15 INFO  TestRunner:56 - ****************Test Run Completed at_19-03-2018_21-23-15*******************
20-03-2018 09:54:31 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_09-54-31*******************
20-03-2018 09:55:06 INFO  Actionwords:1108 - <----------Scenario Completed: Select single statement pending agreement--------------->
20-03-2018 09:55:07 INFO  Actionwords:1123 - <<<<<------------------------------------------------------------------------------->>>>>
20-03-2018 09:55:09 INFO  TestRunner:56 - ****************Test Run Completed at_20-03-2018_09-55-09*******************
20-03-2018 09:57:17 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_09-57-17*******************
20-03-2018 09:57:49 INFO  Actionwords:1102 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 09:58:38 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (7f7fb0db308bb5fae79171b36a07218a)] -> id: Email]
20-03-2018 09:58:39 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 09:58:39 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 09:58:39 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (7f7fb0db308bb5fae79171b36a07218a)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 09:58:40 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (7f7fb0db308bb5fae79171b36a07218a)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 09:58:40 INFO  Actionwords:753 - true
20-03-2018 09:58:41 INFO  TPStatementPage:152 - No. of columns in the table header are: 16
20-03-2018 09:58:41 INFO  TPStatementPage:184 - Required column is present in statement table at position: 2
20-03-2018 09:58:41 INFO  TPStatementPage:201 - Row present in statement table are: 20
20-03-2018 09:58:42 INFO  TPStatementPage:286 - Number of statement present with required status of: Pending are- 20
20-03-2018 10:38:02 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_10-38-02*******************
20-03-2018 10:38:13 INFO  Actionwords:1102 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 10:38:16 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (321528597904037688bf814feff33512)] -> id: Email]
20-03-2018 10:38:17 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 10:38:17 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 10:38:17 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (321528597904037688bf814feff33512)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 10:38:19 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (321528597904037688bf814feff33512)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 10:38:19 INFO  Actionwords:753 - true
20-03-2018 10:38:19 INFO  TPStatementPage:152 - No. of columns in the table header are: 16
20-03-2018 10:38:19 INFO  TPStatementPage:184 - Required column is present in statement table at position: 2
20-03-2018 10:38:20 INFO  TPStatementPage:201 - Row present in statement table are: 20
20-03-2018 10:38:21 INFO  TPStatementPage:286 - Number of statement present with required status of: Pending are- 20
20-03-2018 10:38:45 INFO  TPStatementPage:152 - No. of columns in the table header are: 16
20-03-2018 10:38:46 INFO  TPStatementPage:184 - Required column is present in statement table at position: 2
20-03-2018 10:39:00 INFO  Actionwords:1108 - <----------Scenario Completed: Select single statement pending agreement--------------->
20-03-2018 10:39:01 INFO  Actionwords:1123 - <<<<<------------------------------------------------------------------------------->>>>>
20-03-2018 10:39:02 INFO  TestRunner:56 - ****************Test Run Completed at_20-03-2018_10-39-02*******************
20-03-2018 10:40:29 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_10-40-29*******************
20-03-2018 10:40:40 INFO  Actionwords:1102 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 10:40:42 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (678ac9ab96872e257712ab168f65316a)] -> id: Email]
20-03-2018 10:40:43 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 10:40:43 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 10:40:43 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (678ac9ab96872e257712ab168f65316a)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 10:40:49 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (678ac9ab96872e257712ab168f65316a)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 11:53:44 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_11-53-44*******************
20-03-2018 11:57:01 INFO  Actionwords:1102 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 11:57:12 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (f8e501294c0230dfe955b1bc5b06ef65)] -> id: Email]
20-03-2018 11:57:12 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 11:57:12 INFO  TPLoginPage:50 - clicking on login button...
20-03-2018 11:57:12 INFO  WaitHelper:28 - Waiting until element: '[[ChromeDriver: chrome on XP (f8e501294c0230dfe955b1bc5b06ef65)] -> xpath: //button[contains(text(),'Log in')]]' is clickable
20-03-2018 11:57:15 INFO  WaitHelper:36 - Waiting until element: '[[ChromeDriver: chrome on XP (f8e501294c0230dfe955b1bc5b06ef65)] -> xpath: //div[@class='container body-content']/h2]' is visible
20-03-2018 12:22:13 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_12-22-13*******************
20-03-2018 12:23:27 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_12-23-27*******************
20-03-2018 12:27:21 INFO  TestRunner:38 - ****************Test Run Started at_20-03-2018_12-27-21*******************
20-03-2018 12:27:46 INFO  Actionwords:1111 - <----------Scenario Started: Select single statement pending agreement--------------->
20-03-2018 12:27:55 INFO  TPLoginPage:40 - entering loginuname....[[ChromeDriver: chrome on XP (2990e5f15b1a06185bc505198712d319)] -> id: Email]
20-03-2018 12:27:55 INFO  TPLoginPage:45 - entering loginpwd....
20-03-2018 12:27:55 INFO  TPLoginPage:50 - clicking on login button...
